location	total_deaths_per_million_w40_w52	people_fully_vaccinated_per_hundred
Afghanistan	3.9410000000000025	
Africa	13.944999999999993	4.2
Albania	200.83999999999992	
Algeria	11.183999999999997	
Andorra	129.27600000000007	61.69
Angola	7.928000000000004	2.97
Anguilla	264.463	
Antigua and Barbuda	557.0860000000001	
Argentina	50.58600000000024	46.79
Armenia	916.739	4.85
Aruba	149.26099999999997	69.51
Asia	30.23599999999999	35.7
Australia	38.894	41.51
Austria	305.64800000000014	60.16
Azerbaijan	185.947	35.57
Bahamas	491.29099999999994	
Bahrain	2.8599999999999	63.56
Bangladesh	3.957000000000022	9.7
Barbados	670.819	35.55
Belarus	157.36700000000002	16.61
Belgium	238.73100000000022	72.42
Belize	493.9309999999999	
Benin	0.5629999999999988	
Bermuda	934.0980000000001	
Bhutan	0	63.66
Bolivia	82.81899999999996	27.54
Bonaire Sint Eustati	151.25800000000004	
Bosnia and Herzegovi	925.3990000000003	
Botswana	35.04099999999994	
Brazil	114.9659999999999	40.71
British Virgin Islan	65.74000000000001	
Brunei	138.155	40.41
Bulgaria	1517.5470000000005	18.98
Burkina Faso	6.42	
Burundi	0	
Cambodia	45.377999999999986	64.23
Cameroon	17.741999999999997	
Canada	70.45300000000009	70.43
Cape Verde	32.034000000000106	23.17
Cayman Islands	135.34300000000002	
Central African Repu	0.20400000000000063	
Chad	0.4139999999999997	0.17
Chile	87.1840000000002	73.42
China	0	
Colombia	74.06500000000005	32.54
Comoros	11.255000000000024	
Congo	31.112000000000002	
Cook Islands	0	
Costa Rica	226.50099999999998	
Cote d'Ivoire	4.213999999999999	
Croatia	966.0299999999997	
Cuba	96.75300000000004	43.79
Curacao	175.97500000000002	
Cyprus	97.09799999999996	
Czechia	529.2529999999997	55.52
Democratic Republic 	1.3200000000000003	
Denmark	107.51199999999994	74.78
Djibouti	26.941000000000003	
Dominica	443.385	
Dominican Republic	18.988999999999976	44.44
Ecuador	53.721000000000004	55.16
Egypt	43.786	
El Salvador	98.02900000000005	50.76
Equatorial Guinea	22.760999999999996	
Eritrea	9.441	
Estonia	443.7099999999999	53.29
Eswatini	77.62099999999987	
Ethiopia	13.030999999999999	0.64
Europe	415.99300000000017	51.87
European Union	306.125	62.48
Faeroe Islands	244.63400000000001	73.39
Falkland Islands	0	
Fiji	119.61400000000003	
Finland	89.215	61.37
France	108.6289999999999	65.46
French Polynesia	88.48499999999967	
Gabon	48.271	
Gambia	3.2169999999999845	
Georgia	1252.0810000000001	19.54
Germany	222.90700000000015	63.58
Ghana	4.695	
Gibraltar	89.04500000000007	
Greece	589.2529999999999	58.4
Greenland	17.585	
Grenada	707.8709999999999	
Guatemala	149.70000000000005	12.6
Guernsey	0	
Guinea	1.0370000000000026	4.06
Guinea-Bissau	6.946000000000012	
Guyana	369.4670000000001	
Haiti	13.775999999999996	0.18
High income	220.74099999999999	58.89
Honduras	74.928	
Hong Kong	0	54.51
Hungary	937.8089999999997	58.44
Iceland	10.847000000000008	
India	24.610000000000014	16.09
Indonesia	9.504999999999939	17.46
International	0	
Iran	144.02199999999993	
Iraq	49.73300000000006	7.12
Ireland	141.08300000000008	73.99
Isle of Man	187.33100000000002	
Israel	61.13499999999999	60.71
Italy	111.06899999999996	67.28
Jamaica	214.90100000000007	
Japan	7.204000000000008	57.51
Jersey	0	73.24
Jordan	164.76800000000003	31.58
Kazakhstan	142.56399999999996	33.66
Kenya	5.0190000000000055	1.62
Kiribati	0	
Kosovo	30.30099999999993	28.25
Kuwait	5.081999999999994	
Kyrgyzstan	30.475000000000023	9.03
Laos	48.243	
Latvia	1010.213	44.75
Lebanon	123.05799999999999	18.65
Lesotho	121.34799999999998	
Liberia	0.7719999999999985	
Libya	158.654	
Liechtenstein	287.5519999999999	60.0
Lithuania	919.7499999999998	60.48
Low income	6.616999999999997	1.26
Lower middle income	42.935	13.65
Luxembourg	126.02099999999996	
Macao	0	
Madagascar	2.4269999999999996	
Malawi	4.478999999999999	2.49
Malaysia	184.58500000000004	61.7
Maldives	57.025000000000034	
Mali	5.417999999999999	
Malta	36.815000000000055	81.4
Marshall Islands	0	
Mauritania	20.522999999999996	
